Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
4111,NB 96 St btwn 66 Ave - N of 68 Ave,30,(f),53.50406950,-113.47644237,"(53.50406950107307, -113.47644236705804)"
4119,SB 106 St btwn 42 - 40 Ave,30,(f),53.47654717,-113.50444638,"(53.476547167667015, -113.50444637510853)"
4112,SB 96 St N of 68 - 66 Ave,30,(f),53.50406950,-113.47644237,"(53.50406950107307, -113.47644236705804)"
7081,EB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64668383,-113.48927634,"(53.64668382716076, -113.48927634261672)"
4163,WB Millwoods Rd S E of 74 - 80 St,30,(f),53.44555901,-113.44961739,"(53.44555901499419, -113.44961738662494)"
4162,EB Millwoods Rd S Btwn 80-74 St,30,(f),53.44555901,-113.44961739,"(53.44555901499419, -113.44961738662494)"
2691,EB 90 Ave between 71 - 68 St,60,(h),53.52518581,-113.43415816,"(53.52518580868095, -113.43415815667548)"
2690,WB 90 Ave between 68 - 71 St,60,(h),53.52527888,-113.43415888,"(53.52527888259998, -113.43415887698822)"
2753,EB 95 Ave between 170 - 165 St,50,"(f), (h)",53.53159490,-113.61092390,"(53.53159490423999, -113.6109239032976)"
7075,WB Yellowhead Tr at 7710 Yellowhead Tr,70,"(b), (c)",53.58250717,-113.45958783,"(53.58250716540834, -113.45958783296466)"
247,WB Yellowhead Trail at 50 St,80,(c),53.58248862,-113.41881805,"(53.58248862054616, -113.41881805390678)"
2787,EB 132 Ave between 66 St - Fort Rd,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
4122,EB 132 Ave W of 76 - 72 St,30,(f),53.59224183,-113.45567120,"(53.59224183366425, -113.45567119624538)"
2788,WB 132 Ave between Fort Rd - 66 St,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
2702,EB 114 Ave between 48 - 46 St,50,(h),53.56678765,-113.41376987,"(53.5667876476314, -113.4137698696166)"
2703,WB 114 Ave between 46 - 48 St,50,(h),53.56678765,-113.41376987,"(53.5667876476314, -113.4137698696166)"
7216,NB Gateway Blvd at Ellerslie Road SW,90,"(a), (b), (c)",53.42288224,-113.49284070,"(53.42288223599802, -113.49284070137155)"
4171,WB Hemmingway Rd Btwn 201-204 St,30,(f),53.48787239,-113.67022116,"(53.48787239238095, -113.67022115635118)"
4123,NB 184 St - N of Dechene Rd - 57 Ave,30,(f),53.48997543,-113.64130604,"(53.48997543482595, -113.64130603806744)"
2737,WB 106 Ave between 65 - 67 St,50,(h),53.54933532,-113.43199224,"(53.54933532200025, -113.43199223650173)"
2770,WB 40 Ave between 107 - 111 St,50,"(b), (c), (f), (h)",53.47586251,-113.51295287,"(53.475862508727175, -113.51295287192254)"
2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,50,"(b), (c)",53.57028390,-113.45725096,"(53.57028390232364, -113.45725095936686)"
4231,WB 144 Ave Btwn 57 - 62 St,30,(f),53.60566066,-113.43325359,"(53.60566066045812, -113.4332535883275)"
7177,WB 106 Ave between Rowland Rd - 76 St,50,(h),53.54938881,-113.44241280,"(53.54938881273492, -113.4424127998047)"
2771,EB 40 Ave between 112A - 111 St,50,"(c), (f), (h)",53.47570067,-113.51982052,"(53.47570066575741, -113.519820518637)"
7205,SB 149 St between 84 Ave - Whitemud Dr,60,"(c), (h)",53.51507723,-113.57805678,"(53.515077229918575, -113.57805678487138)"
7196,WB Anthony Henday Dr between 18 - 66 St,100,"(a), (b), (c)",53.63757881,-113.40232135,"(53.637578811726904, -113.40232134694827)"
2747,WB 87 Ave between 119 St - Sask Dr,50,(h),53.52296084,-113.53828229,"(53.52296084113062, -113.53828228859197)"
4170,EB Hemmingway Rd Btwn 204 - 201 St,30,(f),53.48787239,-113.67022116,"(53.48787239238095, -113.67022115635118)"
2588,WB 51 Ave between 114 - 116 St,50,(h),53.48832328,-113.52787750,"(53.4883232767095, -113.52787750170776)"
7115,NB 170 St between 114 - 117 Ave,60,"(b), (c)",53.56526115,-113.61518701,"(53.56526115090664, -113.61518701100087)"
2632,EB 106 Ave between Fulton Dr - 65 St,50,(h),53.54925764,-113.43199190,"(53.549257641684676, -113.43199190399541)"
2729,EB Princess Elizabeth Ave between 106 - 102 St,50,(c),53.56806178,-113.49916298,"(53.56806178253305, -113.49916297990252)"
7016,WB Whitemud Dr east of 17 Street,80,"(b), (c)",53.48260872,-113.36274539,"(53.48260872136551, -113.36274538644595)"
2473,EB 132 Ave between Delwood Rd - 79 St,50,"(a), (h)",53.59223322,-113.46280031,"(53.59223321810083, -113.46280030604021)"
4200,WB 95 Ave Btwn 87-90 St,30,(f),53.53175609,-113.46311902,"(53.5317560937627, -113.46311902452031)"
4124,SB 184 St btwn 57 Ave - N of 52 Ave,30,(f),53.48997543,-113.64130604,"(53.48997543482595, -113.64130603806744)"
4003,EB Delwood Rd btwn 134B Ave - 73 St,30,(f),53.59681869,-113.45765336,"(53.59681868943947, -113.45765336446044)"
2445,NB 142 St btwn 104A - 105 Ave,50,"(a), (h)",53.54725370,-113.56574834,"(53.54725370471114, -113.56574833928225)"
7169,EB Anthony Henday Dr between 66 St - Manning Dr,100,"(a), (b), (c)",53.64075388,-113.41656547,"(53.64075388187443, -113.41656547211505)"
7018,NB Anthony Henday Dr.  @ Yellowhead Tr.,100,"(a), (b), (c)",53.57428873,-113.66123606,"(53.574288729218694, -113.66123605661255)"
2561,NB 105 St between 97 - 98 Ave,50,(h),53.53482328,-113.50107718,"(53.53482328323628, -113.50107717691844)"
2757,SB 163 St between 99 - 96A Ave,50,(b),53.53571167,-113.60275402,"(53.53571166825143, -113.60275402414275)"
2739,NB 66 St between 132 - 134 Ave.,50,(h),53.59383320,-113.44285006,"(53.59383320324485, -113.44285005985127)"
2796,SB 159 St between 87 Ave - Whitemud Dr,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
7005,EB Yellowhead Trail @ Anthony Henday Dr,100,"(a), (b), (c)",53.57357317,-113.66018743,"(53.5735731656759, -113.66018742546709)"
7017,SB Anthony Henday Dr. @ Yellowhead Tr.,100,"(a), (b), (c)",53.57298521,-113.66198874,"(53.5729852141935, -113.66198873657481)"
7082,WB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64716486,-113.48933364,"(53.64716486378753, -113.4893336448136)"
7122,NB Anthony Henday Dr north of Stony Plain Rd,100,"(a), (b), (c)",53.54678967,-113.65869813,"(53.546789667881036, -113.65869813014649)"
7206,WB Stony Plain Rd between 178 - 182 St,60,(c),53.54139729,-113.63189805,"(53.5413972913489, -113.63189805198344)"
2494,SB 142 St between 106 - 104 Ave,50,"(a), (h)",53.54745783,-113.56575002,"(53.54745783435487, -113.56575002307038)"
7121,SB Anthony Henday Dr south of 100 Ave,100,"(a), (b), (c)",53.53353716,-113.65952376,"(53.533537161115206, -113.65952375504637)"
2518,SB 109 St between 110 - 108 Ave,50,"(a), (b), (f), (h)",53.55480302,-113.50852939,"(53.55480301522058, -113.50852938555778)"
2679,WB Hermitage Rd between Homestead Cr - Henry Ave,50,"(c), (h)",53.58444837,-113.40254277,"(53.584448372510685, -113.40254277205045)"
2669,NB 127 St between 135 - 137 Ave,50,(b),53.59797756,-113.54117476,"(53.59797755575344, -113.54117475648204)"
2738,SB 66 St between Delwood Rd - 132 Ave,50,(h),53.59390399,-113.44305833,"(53.5939039853878, -113.44305832894702)"
2718,NB 97 St between 115 -117 Ave,50,(b),53.56730220,-113.49178446,"(53.56730220298543, -113.4917844583529)"
7013,EB Anthony Henday Dr @ Ray Gibbon Dr,100,"(a), (b), (c)",53.59113854,-113.64613646,"(53.5911385449838, -113.64613646310981)"
2797,SB Meadowlark Rd between 90 - 88A Ave,50,(h),53.52256727,-113.59374405,"(53.522567269337735, -113.5937440531623)"
